date,FXE,GLD,HYG,IEF,QQQ,SPY,TLT,VNQ
2022-09-12,0.042010735702861485,0.0389428756058808,0.062452307274921584,0.030160278985753897,0.34023846026442484,0.36573300950645443,0.016640056305303744,0.10382227635439921
2022-09-13,0.0,0.0,0.0,0.0,0.4601644900983136,0.5398355099016864,0.0,0.0
2022-09-14,0.027472471912495872,0.02493412189722185,0.05777924088526571,0.0219142255382245,0.36580497283588614,0.3930776368722693,0.028762940964864477,0.08025438909377218
2022-09-15,0.0,0.0,0.022305532364969648,0.0,0.45515554696426314,0.4990394973603943,0.023499423310372917,0.0
2022-09-16,0.11531468566442256,0.0,0.14964838061763355,0.10086066622826648,0.26905794699322216,0.21507356210726147,0.1500447583891937,0.0
2022-09-19,0.13472147652304803,0.03260866388310777,0.15392016887639767,0.12136166627741594,0.2093776512908834,0.15947288216641742,0.16668504978889043,0.021852441193839223
2022-09-20,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2022-09-21,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-09-22,0.14264388629447353,0.26107946154100214,0.1993270098423727,0.159685015334506,0.0,0.0,0.23726462698764575,0.0
2022-09-23,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-09-26,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-09-27,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-09-28,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-09-29,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-09-30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-10-03,0.12847815629168616,0.6102092683859034,0.058733904405053966,0.08555593499176298,0.0,0.07193479679673165,0.0,0.04508793912886185
2022-10-04,0.09446078393320381,0.1803435224312483,0.08388961316752652,0.08080759657342415,0.17380210508793187,0.2308228061176732,0.05693401836484367,0.0989395543241484
2022-10-05,0.06288157128923215,0.17562707004850714,0.057764616734559064,0.041641362207454014,0.23690902932670943,0.3337671018455449,0.013202273319899718,0.07820697522809354
2022-10-06,0.04687155130295756,0.17875459913812153,0.05272768444110426,0.024747219489021723,0.2678342235656223,0.3724731155904137,0.0,0.056591606472758925
2022-10-07,0.0,0.2747035180680184,0.0,0.0,0.19546203883593471,0.5298344430960469,0.0,0.0
2022-10-10,0.0,0.9355107261400175,0.0,0.0,0.0,0.0644892738599825,0.0,0.0
2022-10-11,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2022-10-12,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-10-13,0.33840064648697327,0.0,0.30052696664644346,0.15767497456160018,0.0,0.0,0.0,0.20339741230498315
2022-10-14,0.919746573778231,0.0,0.08025342622176909,0.0,0.0,0.0,0.0,0.0
2022-10-17,0.31049802080789934,0.0,0.27068761157058463,0.14659365349218667,0.0,0.0,0.0,0.2722207141293292
2022-10-18,0.22873282296265962,0.0,0.1869935353366656,0.0,0.0,0.27588537791736945,0.0,0.3083882637833053
2022-10-19,0.174906840481128,0.0,0.05334169100018381,0.0,0.0,0.48123399576014836,0.0,0.29051747275853973
2022-10-20,0.6197515019886551,0.0,0.005709170946947163,0.0,0.0,0.0,0.0,0.3745393270643977
2022-10-21,0.18859915406981398,0.0,0.12912014665385418,0.0,0.2218320576861324,0.3308553175049408,0.0,0.12959332408525867
2022-10-24,0.09365575101061167,0.0,0.03192615717706098,0.0,0.3500937176205128,0.4991262367499755,0.0,0.025198137441839102
2022-10-25,0.04088564852126824,0.0,0.0,0.0,0.4012665217587299,0.5203611452449108,0.0,0.037486684475091056
2022-10-26,0.10269287480181576,0.0,0.007298142129256055,0.0,0.28225471203077224,0.527029090369135,0.0,0.08072518066902097
2022-10-27,0.1343744262105704,0.070365813668953,0.07761148504605307,0.0823103717072956,0.0,0.4271283563455135,0.05600428410057609,0.1522052629210383
2022-10-28,0.10391345513633518,0.08307137979334797,0.10454991836750219,0.10073000866440417,0.10175125576297364,0.2628666807825707,0.11085245513954882,0.13226484635331723
2022-10-31,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2022-11-01,0.09262033772712021,0.059696549225837815,0.1482560969107463,0.14551049556708207,0.0,0.10483518401836796,0.2477139544493979,0.20136738210144783
2022-11-02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-11-03,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2022-11-04,0.14114653244889372,0.2766805597709255,0.14442502571983407,0.18028805264491307,0.0,0.0,0.2574598294154337,0.0
2022-11-07,0.2441969655270766,0.7434309921709894,0.012372042301934026,0.0,0.0,0.0,0.0,0.0
2022-11-08,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-09,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-11-10,0.1672495388669145,0.41514499747744293,0.08121866356826599,0.12840467331501096,0.0,0.0,0.13012233822674196,0.07785978854562363
2022-11-11,0.10480623027763235,0.24872589545111848,0.0465784086345816,0.06787634324019223,0.24201361997738835,0.14730379144225006,0.07528174528629064,0.06741396569054645
2022-11-14,0.07034144812950954,0.28081093318499967,0.0,0.008440553906574147,0.41002913606427577,0.2087848892333083,0.0215930394813325,0.0
2022-11-15,0.0772508538226677,0.1972160340430385,0.02810588309723674,0.04549107328798888,0.3656766998522574,0.20783199114880552,0.061771569660396146,0.016655895087609156
2022-11-16,0.027745327984098015,0.20258530130775076,0.0,0.0,0.5042082208836801,0.20869611255672718,0.05676503726774398,0.0
2022-11-17,0.09253594303574443,0.15481752030284027,0.0432798871061507,0.07170729077780934,0.35107755711901883,0.16458426084663313,0.12199754081180328,0.0
2022-11-18,0.10137852461890728,0.10024253533131904,0.07386227802780812,0.08886750188364853,0.31847861827114365,0.1681899526008342,0.14033653005775415,0.008644059208585098
2022-11-21,0.046889239227666635,0.0,0.09304614889827502,0.10889478977197155,0.3566820640925814,0.061230956314078974,0.3332568016954264,0.0
2022-11-22,0.009665482533087565,0.0,0.17494351893651197,0.1518913543971182,0.08693205098135388,0.1330061991283703,0.4435613940235581,0.0
2022-11-23,0.0,0.0,0.1597561716148123,0.11197775051329391,0.009400086921886864,0.218517891082594,0.5003480998674128,0.0
2022-11-25,0.0,0.0,0.12489022436671075,0.0,0.0,0.1729334039500989,0.7021763716831902,0.0
2022-11-28,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-11-29,0.13097671009488293,0.0,0.2800622901598357,0.24944607463112484,0.0,0.0,0.33951492511415654,0.0
2022-11-30,0.12271766015994347,0.0,0.3543494819756769,0.265695305855349,0.0,0.0,0.2056130582799664,0.05162449372906427
2022-12-01,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-12-02,0.02735306487846861,0.29838133036931147,0.06088252449931571,0.058659548874064105,0.07718920212888002,0.30091094398743007,0.17662338526253005,0.0
2022-12-05,0.19541669703670292,0.2606161663680892,0.1536886721177195,0.13817870032623986,0.0,0.0,0.2520997641512484,0.0
2022-12-06,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
2022-12-07,0.02820680907159342,0.26060200843074294,0.0,0.11699849556394633,0.0,0.0,0.5941926869337173,0.0
2022-12-08,0.17040426810790116,0.21926256938756525,0.12758166448441816,0.15589158923296378,0.0,0.0,0.2655039243744255,0.06135598441272611
2022-12-09,0.18612235745580916,0.2479143350568522,0.15478559136713366,0.13497437193438463,0.0,0.0,0.15765936854915238,0.11854397563666796
2022-12-12,0.22168397177846988,0.2221167699948833,0.19443952912484916,0.10848007369152227,0.0,0.0,0.07514004789973076,0.17813960751054464
2022-12-13,0.13496769228262623,0.16985452496066186,0.12437086247408347,0.032777465547962036,0.12666193329873263,0.22448658195568777,0.0,0.186880939480246
2022-12-14,0.0,0.0,0.0,0.0,0.04575970991936138,0.7403416008702197,0.0,0.21389868921041896
2022-12-15,0.176986131316998,0.0,0.0,0.0,0.0,0.0,0.0,0.823013868683002
2022-12-16,0.5300206768503168,0.0,0.12616524375016383,0.0,0.0,0.0,0.0,0.34381407939951936
