group,strategy,start,end,trading_days,gross_return,net_return,cost_drag_compounded,total_cost_sum,cagr,annualized_return_arithmetic,annualized_volatility,downside_deviation_0rf,downside_deviation_4rf,avg_monthly_turnover,annualized_cost_sum,sharpe_0rf,sharpe_4rf,sortino_0rf,sortino_4rf,calmar,max_drawdown,total_turnover,avg_daily_turnover,annualized_turnover,trade_days,trade_events,avg_gross_exposure,max_gross_exposure,avg_net_exposure,avg_positions_over_1pct,variant,transaction_cost_bps,caution_threshold,panic_threshold,min_hold_days,leverage_cap,excluded_symbols,symbol_count,prediction_horizon_days,panic_assets
holding_period_sensitivity,hold 0d,2022-01-03,2026-05-08,1091,1.4516083199435803,1.386189176740205,0.06541914320337527,0.027093956592988525,0.2224822304701175,0.21766705613010454,0.18325264144076495,0.11755512971950419,0.11867451715673864,0.5112067281695948,0.006258182457775535,1.1877976460190005,0.9695197555312406,1.851616825650019,1.4970952516743914,1.1940984219410344,-0.18631816806898338,27.093956592988523,0.024834057372125136,6.2581824577755345,1090,10933,0.7983163845930704,0.9874515317930763,0.7884111164963862,6.609532538955087,0 days,10,0.35,0.65,0.0,1.3,,21.0,,
holding_period_sensitivity,hold 3d,2022-01-03,2026-05-08,1091,1.4519571705576513,1.3865603546776981,0.06539681587995316,0.027080889442824052,0.22252615121063224,0.2177326341797065,0.1834141757230657,0.11767215263349631,0.11879221766733467,0.5109601781664915,0.006255164197609222,1.1871090842425274,0.9690234327801485,1.8503327193975985,1.496163954758622,1.19181151268394,-0.1867125370433006,27.080889442824052,0.024822080149242944,6.255164197609222,1090,10939,0.799639776368828,0.9880708848952926,0.789704373504304,6.667277726856096,3 days,10,0.35,0.65,3.0,1.3,,21.0,,
holding_period_sensitivity,hold 5d,2022-01-03,2026-05-08,1091,1.4553229565580699,1.3898319975488485,0.06549095900922142,0.02708282986162302,0.22291305111350312,0.21808455834987248,0.1836080604806996,0.11776269616892426,0.11888382438870722,0.5109967898419436,0.006255612397001834,1.187772245831206,0.9699168864571294,1.851898482665868,1.4979713116193185,1.192557308481184,-0.18692020041988633,27.082829861623015,0.024823858718261243,6.255612397001833,1090,10943,0.8010307201591835,0.9887551201058898,0.7910666541747344,6.714940421631531,5 days,10,0.35,0.65,5.0,1.3,,21.0,,
holding_period_sensitivity,hold 10d,2022-01-03,2026-05-08,1091,1.4232208202598997,1.3556205384622095,0.06760028179769018,0.028346791203454687,0.2188469343266617,0.21491047278119216,0.18447263212024279,0.11849095571760225,0.11961629049327827,0.5348451170463149,0.006547563137736554,1.1649992213539264,0.9481648891266546,1.8137289169427,1.4622629748831837,1.1694519438027662,-0.18713632098042954,28.346791203454686,0.025982393403716487,6.547563137736555,1090,11033,0.8035982887914146,0.9861762896071393,0.7936601725359776,6.837763519706691,10 days,10,0.35,0.65,10.0,1.3,,21.0,,
leverage_cap_sensitivity,leverage cap 1.00,2022-01-03,2026-05-08,1091,1.442073006789105,1.3816094497612332,0.06046355702787176,0.025118749588122716,0.22193988776189655,0.21545883265769267,0.173344230378696,0.11026595155185956,0.11139273582569811,0.4739386714740135,0.0058019476592180794,1.2429535854005127,1.0121988616198936,1.9539924122122094,1.5751371160525407,1.3201568244208912,-0.16811630531793387,25.118749588122718,0.023023601822293967,5.801947659218079,1090,11193,0.7737517837287885,0.8835420441390992,0.7712898121104351,6.860678276810265,1.00x cap,10,0.35,0.65,5.0,1.0,,21.0,,
leverage_cap_sensitivity,leverage cap 1.15,2022-01-03,2026-05-08,1091,1.4676320362095208,1.4027090051741715,0.06492303103534924,0.026709082278737473,0.22443192279975288,0.21875961794563356,0.18049568177383155,0.115385706617494,0.11651427782724683,0.503944948655424,0.00616928389939674,1.2119936377189804,0.9903816877437913,1.8958987586809708,1.5342292917154456,1.2617332747018983,-0.1778758849430978,26.709082278737476,0.02448128531506643,6.16928389939674,1090,10803,0.794545729419675,0.942146046702913,0.785601804432079,6.733272227314391,1.15x cap,10,0.35,0.65,5.0,1.15,,21.0,,
leverage_cap_sensitivity,leverage cap 1.30,2022-01-03,2026-05-08,1091,1.4553229565580699,1.3898319975488485,0.06549095900922142,0.02708282986162302,0.22291305111350312,0.21808455834987248,0.1836080604806996,0.11776269616892426,0.11888382438870722,0.5109967898419436,0.006255612397001834,1.187772245831206,0.9699168864571294,1.851898482665868,1.4979713116193185,1.192557308481184,-0.18692020041988633,27.082829861623015,0.024823858718261243,6.255612397001833,1090,10943,0.8010307201591835,0.9887551201058898,0.7910666541747344,6.714940421631531,1.30x cap,10,0.35,0.65,5.0,1.3,,21.0,,
leverage_cap_sensitivity,leverage cap 1.50,2022-01-03,2026-05-08,1091,1.4553229565580699,1.3898319975488485,0.06549095900922142,0.02708282986162302,0.22291305111350312,0.21808455834987248,0.1836080604806996,0.11776269616892426,0.11888382438870722,0.5109967898419436,0.006255612397001834,1.187772245831206,0.9699168864571294,1.851898482665868,1.4979713116193185,1.192557308481184,-0.18692020041988633,27.082829861623015,0.024823858718261243,6.255612397001833,1090,10943,0.8010307201591835,0.9887551201058898,0.7910666541747344,6.714940421631531,1.50x cap,10,0.35,0.65,5.0,1.5,,21.0,,
asset_universe_sensitivity,full universe rebuilt,2022-01-03,2026-05-08,1091,1.4553229565580699,1.3898319975488485,0.06549095900922142,0.02708282986162302,0.22291305111350312,0.21808455834987248,0.1836080604806996,0.11776269616892426,0.11888382438870722,0.5109967898419436,0.006255612397001834,1.187772245831206,0.9699168864571294,1.851898482665868,1.4979713116193185,1.192557308481184,-0.18692020041988633,27.082829861623015,0.024823858718261243,6.255612397001833,1090,10943,0.8010307201591835,0.9887551201058898,0.7910666541747344,6.714940421631531,full universe rebuilt,10,0.35,0.65,5.0,1.3,,21.0,,
asset_universe_sensitivity,remove NVDA,2022-01-03,2026-05-08,1091,0.6951455030566334,0.6530150286117102,0.04213047444492313,0.025215467554014256,0.12309822222525879,0.12495552773003786,0.13298930745871698,0.08976615932255702,0.09089093654218944,0.475763538754986,0.00582428764767332,0.93959078453602,0.6388147239311707,1.3920115182942692,0.9346974622778093,1.0173277034513417,-0.12100154336468094,25.21546755401426,0.02311225257013223,5.824287647673322,1090,9381,0.759446454567369,0.9476664785320945,0.7493237115461507,6.18698441796517,remove NVDA,10,0.35,0.65,5.0,1.3,NVDA,20.0,,
