,SPY buy-and-hold,60/40 SPY/AGG,Equal-weight universe,Momentum Top-5,Volatility-targeted SPY,Risk parity inverse-vol,Defensive basket buy-and-hold,Full Alpha Trinity rebuilt,Prediction-only MLP/RF,Crisis-only deterministic,Full Alpha Trinity rebuilt no-cost,Full Alpha Trinity no-leverage
2023-02-10,0.0,0.003209053668176143,0.010925894231268184,0.4066545955128253,0.00061074187592558,0.017772239533584002,0.0,0.011792064271976757,0.01692253784631557,0.009426936199546185,0.011789248518278317,0.011792064271976757
2023-02-13,0.0,0.004172181330851732,0.006744787156517648,0.41091884961611147,0.0028718782635711593,0.011422671803887462,0.0,0.010557747986692668,0.007894607703898314,0.007586223646598184,0.01055793347726543,0.010557747986692668
2023-02-14,0.0,0.0014813933301643378,0.007183974733156573,0.01590100760988425,0.003325712650679935,0.009176662337552573,0.0,0.010258894794999827,0.009698358328746838,0.007108908283134107,0.010262250467237891,0.010258894794999827
2023-02-15,0.0,0.0024861796945886416,0.006455659243186425,0.003476793205820672,0.0034422778835832,0.008730460825531994,0.0,0.006407380158401133,0.0667004519894894,0.005932970735867987,0.00640668824128033,0.006407380158401133
2023-02-16,0.0,0.0046034796841483705,0.007849153243105637,0.0077878609914504016,0.002410919081105467,0.008337855885473084,0.0,0.011202459891271317,0.00817841141655919,0.008106578176016267,0.0112010409362492,0.011202459891271317
2023-02-17,0.0,0.0023281036110220366,0.008669853127494666,0.010198303052566415,0.010631684472109826,0.007994863014031899,0.0,0.007762694818002203,0.014539599803965372,0.006590043557782463,0.007761451165651703,0.007762694818002203
2023-02-21,0.0,0.005121848828644637,0.009555154572203212,0.40207988389461524,0.003278788000803612,0.010451333512580286,0.0,0.011862181911139656,0.010851789780032753,0.009671749885353992,0.011861277414571183,0.011862181911139656
2023-02-22,0.0,0.0019466750833987967,0.003689872086237153,0.0034675005378658197,0.012935345846574409,0.012345037628903844,0.0,0.015935596558364077,0.0035731791074082933,0.02722349751209115,0.01592205130128949,0.015935596558364077
2023-02-23,0.0,0.0008272193148780027,0.013650095982825898,0.45059175430141013,0.0011457946927092566,0.008819995900442825,0.0,0.023264880581896696,0.02016823937159056,0.01423293817713344,0.023275056013985426,0.023264880581896696
2023-02-24,0.0,0.0023751805720147456,0.006777158377765845,0.39853176581558203,0.0001377146839404153,0.008393336655278173,0.0,0.009158933534022659,0.056038548800441595,0.007619876769232235,0.009160398024175965,0.009158933534022659
2023-02-27,0.0,0.0006957975167757313,0.0045392450287818145,0.40901240422320445,0.006971039367951515,0.014918838691553794,0.0,0.14351718418170106,0.03541498833441735,0.005074228715905373,0.14356450553739694,0.14351718418170106
