,expanding full,expanding prediction-only,rolling_2y full,rolling_2y prediction-only
2022-03-21,0.004195778468880196,0.0003401098355251264,0.004195778468880196,0.0003401098355251264
2022-03-22,-0.00236740749699349,0.0006806575027102912,-0.00236740749699349,0.0006806575027102912
2022-03-23,0.004662927307225173,-0.003358346388352862,0.004662927307225173,-0.003358346388352862
2022-03-24,0.0027447937652813614,0.009357414868610636,0.0027447937652813614,0.009357414868610636
2022-03-25,-0.0010409049592990938,0.0013412907438326016,-0.0010409049592990938,0.0013412907438326016
2022-03-28,-0.003954331260799804,0.0013980406088283104,-0.003954331260799804,0.0013980406088283104
2022-03-29,-0.003084925312897835,0.004651959710010978,-0.003084925312897835,0.004651959710010978
2022-03-30,0.0006631158061436437,-0.0034722193224082654,0.0006631158061436437,-0.0034722193224082654
2022-03-31,-0.0002127390895545478,-0.007695834787920575,-0.0002127390895545478,-0.007695834787920575
2022-04-01,-0.0009448098055554466,0.00019247721424653363,-0.0009448098055554466,0.00019247721424653363
2022-04-04,0.003949625149801905,0.005400111682727138,0.003949625149801905,0.005400111682727138
2022-04-05,-0.005435651934632246,-0.011270979099291312,-0.005435651934632246,-0.011270979099291312
2022-04-06,-0.004017678556994531,-0.008288830662708802,-0.004017678556994531,-0.008288830662708802
2022-04-07,0.002018094362912226,0.0018691460369819612,0.002018094362912226,0.0018691460369819612
