,Full Alpha Trinity rebuilt,SPY buy-and-hold,60/40 SPY/AGG,Equal-weight universe,Momentum Top-5,Volatility-targeted SPY,Risk parity inverse-vol,Defensive basket buy-and-hold
2024-10-01,1.847247767619173,1.2387553645817393,1.1312454204624256,1.3253076540740505,1.3555114466851779,1.2671758355611995,1.220591118536488,1.0846491686117108
2024-10-02,1.852852829485994,1.2392783560468736,1.1305919439209475,1.3267422631613246,1.3533310673995618,1.267664694033831,1.2204376412857256,1.0838928580088782
2024-10-03,1.860506922091758,1.2370127364467474,1.1275151621647435,1.3257694887088725,1.347212185456151,1.2655249026523856,1.2170024635737806,1.0818516411694812
2024-10-04,1.8672027588541489,1.2482538045529477,1.1307405962783283,1.3321684808049299,1.3495615477626188,1.2761350239479812,1.2200528057020925,1.078979717561958
2024-10-07,1.8654428571918835,1.236969153824653,1.123065728091863,1.3236488010309957,1.3343334476692217,1.2654079369173354,1.2126030450278622,1.075786135502516
2024-10-08,1.872604489588412,1.2486678394628459,1.1302010160401161,1.3278306667481872,1.3367908439392868,1.2765347486113159,1.2143622587587626,1.0738452337359061
2024-10-09,1.8755890361299103,1.2573168243524848,1.1337150974531016,1.3322677243022614,1.331988150892082,1.2847145102291044,1.2172852345346101,1.0716050747204775
2024-10-10,1.8786067055732536,1.2551163079859842,1.1322505075329106,1.3302224249571781,1.3258517115842892,1.2826443287037403,1.2153958552730604,1.0732630376949928
2024-10-11,1.88649051517457,1.2626321447011648,1.1364520128452988,1.339824415246588,1.340217087400115,1.289686295417097,1.2228941756495972,1.0767251073296547
2024-10-14,1.8973428946503852,1.2729583837926537,1.141612511197682,1.3479206272449988,1.3498290197084104,1.2995452711475812,1.2275193269560245,1.0769879603162968
2024-10-15,1.867823857454932,1.2630679709221104,1.1381214652533773,1.3302932793312414,1.3284604290788635,1.2900672770269974,1.2225927333527975,1.0815662666483103
2024-10-16,1.8682089778347244,1.2685577571089268,1.1416808885476617,1.3327267582216502,1.3405889810793634,1.2953324694074988,1.226509659611184,1.0852781774696236
2024-10-17,1.876673814768621,1.2686667136641632,1.1394977734521057,1.3323494945833356,1.339301335376856,1.2954364333327089,1.2240625683353972,1.0843569960872947
2024-10-18,1.8863185787014443,1.2735466138411722,1.1424468163071615,1.337998806255036,1.3458374068517132,1.3000557940129314,1.2271829812790027,1.0877148127907412
2024-10-21,1.8931821819418773,1.2714551893796662,1.1381498938833547,1.3324901616218707,1.351663564782854,1.2979433190646423,1.2206468525421204,1.084230468795893
