Date,signal_crisis_score,signal_regime,return_regime_from_prior_signal,net_return_primary_full,gross_exposure_primary_full,turnover_primary_full
2024-11-01,0.25377747249231053,growth,growth,0.0022453128836703584,0.7131436465251629,0.004084089824077877
2024-11-04,0.26674078327564443,growth,growth,-0.0007244591455856098,0.7131436465251629,0.002610803886431418
2024-11-05,0.235834055890053,growth,growth,0.004649864471644394,0.7131436465251629,0.006023043600339781
2024-11-06,0.1,growth,growth,0.0009294011800891067,0.7131436465251629,0.018357505901607327
2024-11-07,0.1,growth,growth,0.00737678870315106,0.7131436465251629,0.009168503106508725
2024-11-08,0.1,growth,growth,-0.0016337667538175449,0.7131436465251629,0.005051405936624284
2024-11-11,0.1,growth,growth,-0.005742399226877026,0.7131436465251629,0.008771110547033868
2024-11-12,0.104141791722331,growth,growth,0.0004017101783175825,0.7131436465251629,0.005801170429438012
2024-11-13,0.10349624941093045,growth,growth,-0.0023211556249074228,0.7131436465251629,0.005631897218876387
2024-11-14,0.11204712555718399,growth,growth,0.0017650575099594779,0.7131436465251629,0.004571363443950581
2024-11-15,0.15306748015501714,growth,growth,-0.009385939904835827,0.7131436465251629,0.010134822701489183
2024-11-18,0.13585093068610846,growth,growth,0.003014634543238026,0.7131436465251629,0.0075990420516201486
2024-11-19,0.15228552000963594,growth,growth,0.007084250617253707,0.7131436465251629,0.007302198731373544
2024-11-20,0.18558338072139635,growth,growth,0.0013747111576511983,0.7131436465251629,0.0034908233690322506
2024-11-21,0.16500339204610068,growth,growth,0.004815956039887492,0.7131436465251629,0.0029695692462982422
2024-11-22,0.10723724043113408,growth,growth,0.001221695713796045,0.7131436465251629,0.0076186515506385605
2024-11-25,0.10273892008975484,growth,growth,-0.010226970103088151,0.7131436465251629,0.012154479188711405
2024-11-26,0.1,growth,growth,0.0008742400711321263,0.7131436465251629,0.003117534920947799
2024-11-27,0.10404007973137488,growth,growth,-0.0029898465652838935,0.7131436465251629,0.003704172156078504
2024-11-29,0.0,growth,growth,0.00596904594623604,0.7131436465251629,0.005225143015922473
2024-12-02,0.1,growth,growth,0.0030416103352477464,0.7131436465251629,0.007268700816159567
2024-12-03,0.0,growth,growth,0.0031770217956619273,0.7131436465251629,0.003731886875525009
2024-12-04,0.1,growth,growth,0.00471374286668369,0.7131436465251629,0.005047258940994148
2024-12-05,0.10219427013440698,growth,growth,-0.004134327033255114,0.7131436465251629,0.0024875760885637206
2024-12-06,0.1,growth,growth,-0.000404842790977078,0.7131436465251629,0.0038513868564253404
2024-12-09,0.12598146199296065,growth,growth,-0.0010226488774516262,0.7131436465251629,0.006559575036476802
2024-12-10,0.13083993996663731,growth,growth,0.0005824658630533275,0.7131436465251629,0.006811895279375893
2024-12-11,0.10366735411394307,growth,growth,0.008084278657421784,0.7131436465251629,0.005015963607405416
2024-12-12,0.11605312012174897,growth,growth,-0.0047395558113196845,0.7131436465251629,0.0053081072131762885
2024-12-13,0.13232933027524899,growth,growth,-0.0048998073842329015,0.7131436465251629,0.0060403681847188626
2024-12-16,0.012808302714008825,growth,growth,-0.0003561750321574575,0.7131436465251629,0.0036874734695751116
2024-12-17,0.14347637387691012,growth,growth,-0.0012666252548185764,0.7131436465251629,0.004041202968139225
2024-12-18,0.5222294958652419,caution,growth,-0.008371364341978715,0.7131436465251629,0.010575083301306503
2024-12-19,0.5226244651585259,caution,growth,0.0008765454717316601,0.7131436465251629,0.0031164278077956574
2024-12-20,0.23102310409578294,growth,caution,0.004195728456113823,0.7131436465251629,0.007814994954126178
2024-12-23,0.16707236022299873,growth,caution,0.005854541424022974,0.7131436465251629,0.008025291034172509
2024-12-24,0.10984125007917625,growth,growth,0.002385167002188826,0.7131436465251629,0.0015921360710537337
2024-12-26,0.10975307025420918,growth,growth,0.0003918047650468548,0.7131436465251629,0.002997858697157254
2024-12-27,0.12368575517961942,growth,growth,-0.005188652712191821,0.7131436465251629,0.0032500914147834755
2024-12-30,0.2636309407536863,growth,growth,-0.0030239240844576187,0.7131436465251629,0.003993097664400954
2024-12-31,0.2785318309130509,growth,growth,-0.0008136003415161186,0.7131436465251629,0.005768643021776104
2025-01-02,0.3484553342428255,growth,growth,0.008924755429537745,0.7131436465251629,0.004881081369566427
2025-01-03,0.15893418069732096,growth,growth,0.00462370491492492,0.7131436465251629,0.010164254860964695
2025-01-06,0.1246082531927792,growth,growth,0.008691738117323489,0.7131436465251629,0.014264221314771886
2025-01-07,0.2699698071627257,growth,growth,-0.006407674753247328,0.7131436465251629,0.01166408726766481
2025-01-08,0.26688750633500236,growth,growth,0.0004265368274574133,0.7131436465251629,0.0036839345688926663
2025-01-10,0.307583388018708,growth,growth,-0.0011222174835825438,0.7131436465251629,0.008510955798200303
2025-01-13,0.33557664731980935,growth,growth,-0.004829254538669447,0.7131436465251629,0.005901333824024226
2025-01-14,0.32684105422276694,growth,growth,-0.0006309484128419474,0.7131436465251629,0.005601162333448664
2025-01-15,0.2535941140920869,growth,growth,0.0063080744385077825,0.7131436465251629,0.007869062425584302
2025-01-16,0.25610335483006214,growth,growth,0.0018173460724166812,0.7131436465251629,0.006817289699081597
2025-01-17,0.11802888993219147,growth,growth,0.003816808599742094,0.7131436465251629,0.005608460246762708
2025-01-21,0.005989413582698742,growth,growth,0.004878116476557004,0.7131436465251629,0.008588643241348531
2025-01-22,0.0,growth,growth,0.006946047930410426,0.7131436465251629,0.006444541799738071
2025-01-23,0.0,growth,growth,-0.0011160376293907204,0.7131436465251629,0.0034620044703187096
2025-01-24,0.10389223600062396,growth,growth,-0.0038805722822232713,0.7131436465251629,0.007399923226594575
2025-01-27,0.158953270789436,growth,growth,-0.02358261282863472,0.7131436465251629,0.027301354610220634
2025-01-28,0.13832851862675927,growth,growth,0.012076346697318607,0.7131436465251629,0.0129274814025772
2025-01-29,0.14636879791327292,growth,growth,-0.0018351360491717372,0.7131436465251629,0.008616646044286759
2025-01-30,0.12667742988973413,growth,growth,0.00702479829343039,0.7131436465251629,0.0062647199360581435
2025-01-31,0.14925958432216113,growth,growth,-0.002256648713267251,0.7131436465251629,0.006425087048677964
