,Full Alpha Trinity rebuilt,Prediction-only MLP/RF,Crisis-only deterministic,Full Alpha Trinity rebuilt no-cost,Full Alpha Trinity no-leverage
2024-04-09,1.7976921540715618,1.6571993195841372,1.310786250620119,1.8262191651968755,1.7976921540715618
2024-04-10,1.8025147308775147,1.6629099172652793,1.2987990310997704,1.8311399584070889,1.8025147308775147
2024-04-11,1.8387459405048137,1.694139645438417,1.3074940912896134,1.867967344461397,1.8387459405048137
2024-04-12,1.7941615448988746,1.6578891413212373,1.286986896495901,1.8226816676060882,1.7941615448988746
2024-04-15,1.7633505934310358,1.6313413270305461,1.2737262675437206,1.7913938139437922,1.7633505934310358
2024-04-16,1.783683125398558,1.6473707667462854,1.2694660655102379,1.8122157779131096,1.783683125398558
2024-04-17,1.7247400208930808,1.5964790267190996,1.2610138330508942,1.7523635690398205,1.7247400208930808
2024-04-18,1.725205496602345,1.598545063255576,1.2612656068480246,1.752857751119632,1.725205496602345
2024-04-19,1.642667358937634,1.5199073044542597,1.2525233328249203,1.669033728641386,1.642667358937634
2024-04-22,1.6695859919950775,1.5459807275242539,1.2616510989923055,1.6964049522892422,1.6695859919950775
2024-04-23,1.7158328239798328,1.5876830467496805,1.2752290418977537,1.7434033464234227,1.7158328239798328
2024-04-24,1.6932902382208515,1.566969236967989,1.2740088114008314,1.7205141816295122,1.6932902382208515
2024-04-25,1.6661246389860074,1.5433815817447867,1.2664946481199326,1.6929918310329144,1.6661246389860074
2024-04-26,1.7060597396838761,1.5811314394542677,1.2749293699121422,1.7335994582417973,1.7060597396838761
2024-04-29,1.6902249369050133,1.5673398633293627,1.2741674040450868,1.7175212681953949,1.6902249369050133
2024-04-30,1.6602826489576388,1.5413494031508796,1.2570687318637415,1.6871134193731308,1.6602826489576388
2024-05-01,1.6422911241502667,1.5242855155014712,1.2524608211289492,1.6688647961944938,1.6422911241502667
2024-05-02,1.6693416532003744,1.5490517419813274,1.2623892251884994,1.6963678361671173,1.6693416532003744
2024-05-03,1.7130064561263019,1.588432894742713,1.2762533575517283,1.7407497613295673,1.7130064561263019
2024-05-06,1.7533119070112235,1.6257224837055166,1.2873082315510416,1.7817216473151234,1.7533119070112235
2024-05-07,1.742935130924515,1.616617683301375,1.289790008057546,1.7711897699241868,1.742935130924515
2024-05-08,1.748362361141744,1.6211555513040734,1.2898801946078873,1.7767105536452745,1.748362361141744
2024-05-09,1.743748387780763,1.616224809712125,1.2965352892254662,1.772036325698614,1.743748387780763
2024-05-10,1.7594320318155323,1.6299398881359466,1.3000878237921278,1.7879845444528981,1.7594320318155323
2024-05-13,1.7472768473994051,1.6197158678741985,1.2951312114543236,1.775647119750767,1.7472768473994051
2024-05-14,1.755407985961078,1.628103162853437,1.300542878815441,1.783918357647558,1.755407985961078
2024-05-15,1.794843910367823,1.6643164470355147,1.3147264305010038,1.824003584149571,1.794843910367823
2024-05-16,1.7754994680984244,1.647947159564479,1.310066130006127,1.804406212949402,1.7754994680984244
2024-05-17,1.7670645279117214,1.6393545044299165,1.3113086008678574,1.795848280058666,1.7670645279117214
2024-05-20,1.7841644054638297,1.654745628085088,1.3136264930259267,1.813245852706797,1.7841644054638297
2024-05-21,1.7757985622512698,1.6490916889339462,1.3144753353405576,1.8047939222907035,1.7757985622512698
2024-05-22,1.775470248123964,1.6486404073262733,1.3094793358187244,1.804467806844531,1.775470248123964
2024-05-23,1.8270486471167384,1.6957137523018282,1.3077852795227363,1.8569499775248266,1.8270486471167384
2024-05-24,1.8670182607393826,1.7299708485484513,1.3188195622433578,1.8976366897625248,1.8670182607393826
2024-05-28,1.9271301175504483,1.7812962333883182,1.3261283230310148,1.9588015336292823,1.9271301175504483
2024-05-29,1.906849859862384,1.7660639652729297,1.3134774771313245,1.9382486942951627,1.906849859862384
2024-05-30,1.8803201300121712,1.741098160824564,1.3102220655639907,1.9113350215070646,1.8803201300121712
2024-05-31,1.872243572931082,1.734928186320708,1.319151758352216,1.903159561087602,1.872243572931082
2024-06-03,1.9151781812683362,1.7721711511778224,1.3224559138909875,1.9468421353378078,1.9151781812683362
2024-06-04,1.9137801322539816,1.7724646702978184,1.3203474160018676,1.945462493227981,1.9137801322539816
2024-06-05,2.0158368734180288,1.8557543723139855,1.3443748840407967,2.049290945037594,2.0158368734180288
2024-06-06,2.0120140927818997,1.852701964924549,1.3449947320094362,2.0454498723247942,2.0120140927818997
2024-06-07,1.9989605994049586,1.8418896700400793,1.3370679522982998,2.032223682898311,1.9989605994049586
2024-06-10,2.0239510941400614,1.8608228361576205,1.3433269258305565,2.0576650981399514,2.0239510941400614
2024-06-11,2.0205488572668893,1.8602134343560248,1.3418435435590899,2.054242783138475,2.0205488572668893
2024-06-12,2.059406154224319,1.8955481857063372,1.3548753185942208,2.0937885681931236,2.059406154224319
2024-06-13,2.0658659525274494,1.9044966985970952,1.353936591909065,2.1004230468931766,2.0658659525274494
2024-06-14,2.0642295327789295,1.9050460084855283,1.3495761385291245,2.098803533292281,2.0642295327789295
2024-06-17,2.07989629987826,1.9149540174267696,1.3559460349285755,2.1147740273881994,2.07989629987826
2024-06-18,2.0978048825249482,1.931148385552712,1.3617087497524505,2.1330193860276445,2.0978048825249482
2024-06-20,2.075177918793512,1.9084368653407682,1.3578167675087465,2.110050044091128,2.075177918793512
2024-06-21,2.039917312196016,1.8779259671152488,1.350373355059771,2.074251647868,2.039917312196016
2024-06-24,1.9865433496517153,1.8306746950560928,1.3470648258909568,2.0200574376894047,1.9865433496517153
2024-06-25,2.0542406084247986,1.8875469090806924,1.3534968098201263,2.088949517014561,2.0542406084247986
2024-06-26,2.0549333832276915,1.8886630392060764,1.3500109467926356,2.0897027431814488,2.0549333832276915
2024-06-27,2.0587266461481835,1.8889184479632823,1.3515596099727702,2.0936076870094324,2.0587266461481835
2024-06-28,2.034377064764414,1.8695206826003121,1.347415972769863,2.068885762686241,2.034377064764414
2024-07-01,2.0463125866088894,1.87864006755954,1.3473397316017912,2.081040961241431,2.0463125866088894
2024-07-02,2.0520498474461224,1.8830700159346874,1.3547913367652886,2.08692121745909,2.0520498474461224
2024-07-03,2.0943151944550604,1.918806758715373,1.3647781442500209,2.129936360149659,2.0943151944550604
2024-07-05,2.119854705554061,1.9398825892492475,1.3724659828134242,2.155998042037153,2.119854705554061
2024-07-08,2.122139045219835,1.9417287659044795,1.3715667567114214,2.1583472676555595,2.122139045219835
2024-07-09,2.127332788695783,1.9496495307158674,1.372193268327145,2.1636582703339635,2.127332788695783
2024-07-10,2.174515312762866,1.9865871772242554,1.3874642334520615,2.2116702884507524,2.174515312762866
2024-07-11,2.089719122636613,1.9162666985100336,1.3837363663524556,2.12544753676577,2.089719122636613
2024-07-12,2.09658367685026,1.920268905235829,1.390552874424029,2.1324669591582412,2.09658367685026
2024-07-15,2.07778327775352,1.9060629270214897,1.3886576548376293,2.1133570308203735,2.07778327775352
2024-07-16,2.063797964793601,1.892250192906994,1.3965314035500282,2.099150170734192,2.063797964793601
2024-07-17,1.9106493685350454,1.7719447450831873,1.368503339856279,1.943436348489389,1.9106493685350454
2024-07-18,1.9363760070806981,1.7954889128619556,1.3630127473502232,1.9696358373282619,1.9363760070806981
2024-07-19,1.9044939266650376,1.7691004634181815,1.3507789499171663,1.9372314192880375,1.9044939266650376
2024-07-22,1.9718339407791372,1.8259540693142748,1.3727779411856675,2.005754562583609,1.9718339407791372
2024-07-23,1.963581976699529,1.8194331991874442,1.3686623344416973,1.9973701658419762,1.963581976699529
2024-07-24,1.8536406826081424,1.726652205061142,1.3364331692105025,1.885554330420961,1.8536406826081424
2024-07-25,1.8286599960043755,1.7044375120209871,1.3294914781480607,1.8601498293424632,1.8286599960043755
2024-07-26,1.8636777175357033,1.7327017413605517,1.3481985053368177,1.8957888839312431,1.8636777175357033
2024-07-29,1.846867427252952,1.7191078778970639,1.3433157778309008,1.8787020059141428,1.846867427252952
2024-07-30,1.7980486853486182,1.6757440844151372,1.337547670361229,1.8290895685104043,1.7980486853486182
2024-07-31,1.9276955342451199,1.7841528856605873,1.3658763614936027,1.961047200269588,1.9276955342451199
2024-08-01,1.883222376988899,1.7472412256125818,1.3463085352624546,1.9158904405069963,1.883222376988899
2024-08-02,1.814090393276375,1.694287980829348,1.3194746598544265,1.8456098647185937,1.814090393276375
2024-08-05,1.7712982895755514,1.6528810114095154,1.2846405306303446,1.802588178593254,1.7712982895755514
2024-08-06,1.8130135676199854,1.6985704413742493,1.2974426571007864,1.8477461829358823,1.8130135676199854
2024-08-07,1.8145504494524587,1.66600278648415,1.2985424922503885,1.8493145159553575,1.8145504494524587
2024-08-08,1.8243519019088956,1.7312063859063038,1.3055566827372367,1.8593131559974374,1.8243519019088956
2024-08-09,1.824736439682946,1.731505870877014,1.3058318686046952,1.859707486032531,1.824736439682946
2024-08-12,1.8341105284294446,1.7457975241127828,1.3125402257997945,1.8692727050160822,1.8341105284294446
2024-08-13,1.8284497761400265,1.7960961325830056,1.3084892348845893,1.863506322964122,1.8284497761400265
2024-08-14,1.8245700190328566,1.8078810812987072,1.305712773384282,1.8599304242968364,1.8245700190328566
2024-08-15,1.8282106402477176,1.8597281157370233,1.3083181026255337,1.8636430871830474,1.8282106402477176
2024-08-16,1.8377850168058643,1.8557137632856757,1.3151697913186262,1.8734182826483432,1.8377850168058643
2024-08-19,1.8339689643742023,1.887154179465114,1.312438918646189,1.8695302866123091,1.8339689643742023
2024-08-20,1.8340372725450234,1.8719523579394186,1.3124878018626382,1.8696039623206913,1.8340372725450234
2024-08-21,1.8315440052637673,1.8913451262396224,1.310703550832183,1.8670633887590922,1.8315440052637673
2024-08-22,1.8272643998084552,1.8526306369601109,1.3078093929736438,1.862950037077376,1.8272643998084552
2024-08-23,1.832021896070708,1.8741873185470574,1.308995300899522,1.8678136171093975,1.832021896070708
2024-08-26,1.8322959296881525,1.8465223460995328,1.311089642546582,1.868317544161836,1.8322959296881525
2024-08-27,1.834014164660337,1.8555300714383267,1.3108885705092368,1.870285045304019,1.834014164660337
2024-08-28,1.829074841276555,1.8409837271836467,1.3103729889559939,1.8654607145711564,1.829074841276555
2024-08-29,1.8216297950701914,1.8114195865165807,1.3138066059133402,1.8578870591103613,1.8216297950701914
2024-08-30,1.8262752774725972,1.8300404184882006,1.3121125615105014,1.8626349036237944,1.8262752774725972
2024-09-03,1.7957836069380002,1.7468196726886693,1.3111044583857432,1.831570565212094,1.7957836069380002
2024-09-04,1.78630880373668,1.7247251438040148,1.30939694313762,1.821917237677749,1.78630880373668
2024-09-05,1.78837767578812,1.7247274015456349,1.3121086243861282,1.8240366234132348,1.78837767578812
2024-09-06,1.768054474685119,1.670066042968592,1.3097507605535674,1.8033275031753577,1.768054474685119
2024-09-09,1.7788328498228354,1.6908425138768663,1.3130752080281543,1.8143298322686514,1.7788328498228354
2024-09-10,1.7845709898781947,1.6999317245946648,1.3149476860790954,1.820187419404274,1.7845709898781947
