,SPY buy-and-hold,60/40 SPY/AGG,Equal-weight universe,Momentum Top-5,Volatility-targeted SPY,Risk parity inverse-vol,Defensive basket buy-and-hold,Full Alpha Trinity rebuilt,Prediction-only MLP/RF,Crisis-only deterministic,Full Alpha Trinity rebuilt no-cost,Full Alpha Trinity no-leverage
2025-04-29,0.006299453156047408,0.004748771623185322,0.003157269022320719,0.001747049433040715,0.00279399297472116,0.002899503335713316,-0.0012177690945696096,-0.0012732973376545775,0.0026196582810320557,-0.0012732973376545775,-0.0012684677906971142,-0.0012732973376545775
2025-04-30,0.000396812712974981,-0.0001258189276932553,-0.0015470864726793154,-0.0020844649138910265,0.00017578657545680443,-0.0009504346962625476,-0.003369151021905048,-0.000418007190974512,-0.0012596457105700232,-0.000418007190974512,-0.0004138481050336429,-0.000418007190974512
2025-05-01,0.007086915718260034,0.003157283195352578,0.005483231283213819,-0.008488082894438809,0.0031432381631379958,0.0013230188823145639,-0.007841386643603565,-0.0033228502001976246,0.012335897491483339,-0.0033228502001976246,-0.0033130352929249263,-0.0033228502001976246
2025-05-02,0.014844241310975725,0.006946416750015505,0.0148593499644889,0.008832679405676558,0.00658697512930595,0.00855463607836926,-0.002354136818509933,-0.0002021776776974793,0.021871118095503128,-0.0002021776776974793,-0.00020096822505999423,-0.0002021776776974793
2025-05-05,-0.005734294466325229,-0.004136745436513656,-0.0017716502612684648,0.005649473182809395,-0.002546104505422031,-0.001137345133479295,0.009754416551902345,0.008040738115611568,-0.0015392313047127848,0.008040738115611568,0.008052214701399274,0.008040738115611568
2025-05-06,-0.008358539906725637,-0.004038531836222603,-0.0035158050501190585,0.002701880905162657,-0.003697330398719667,-0.0016957401120157867,0.010328910989912288,0.0053014997838845,-0.0038642456921488266,0.0053014997838845,0.005314060425071654,0.0053014997838845
2025-05-07,0.004205658791901712,0.0031342258069857465,0.004527377998099658,-0.0062281017913825565,0.0018582216187896794,0.002706521683731866,-0.0031677179376808917,-0.0008445742354180608,0.012876747277066114,-0.0008445742354180608,-0.0008362457298199955,-0.0008445742354180608
2025-05-08,0.006967790512363292,0.002096785205678131,0.0021168524710111214,-0.004776706066933034,0.003079453326335413,-2.4161625035490353e-05,-0.008283723566045897,-0.0020261505148451153,0.0022279945336256546,-0.0017384532018958065,-0.0017280169648403731,-0.0020261505148451153
2025-05-09,-0.0012741154091596707,-0.00035593704258740644,0.0002460341736651994,0.001481829269905699,-0.0005638892958398367,0.00047710227469122124,0.0024912515721602357,0.00019105045128053888,-0.002277938644877686,0.0007307082404182097,0.0001940764561831898,0.00019105045128053888
2025-05-12,0.03304739833427317,0.018460796121111178,0.020499371525206422,0.003072493546521615,0.014597148603720855,0.01121333845123007,-0.009382288435937136,0.004860768991339359,0.03540553118234424,-0.001423095842352451,0.004875564590895554,0.004860768991339359
